"id_persediaan","tanggal","produk","jumlah_persediaan"
"1","2024-01-01 00:00:00","Produk_1","244.56"
"2","2024-01-02 00:00:00","Produk_2","167.4"
"3","2024-01-03 00:00:00","Produk_3","118.49"
"4","2024-01-04 00:00:00","Produk_4","277.14"
"5","2024-01-05 00:00:00","Produk_5","141.46"
"6","2024-01-06 00:00:00","Produk_1","138.42"
"7","2024-01-07 00:00:00","Produk_2","86.29"
"8","2024-01-08 00:00:00","Produk_3","213.4"
"9","2024-01-09 00:00:00","Produk_4","92.76"
"10","2024-01-10 00:00:00","Produk_5","137.42"
"11","2024-01-11 00:00:00","Produk_1","164.75"
"12","2024-01-12 00:00:00","Produk_2","146.41"
"13","2024-01-13 00:00:00","Produk_3","286.13"
"14","2024-01-14 00:00:00","Produk_4","203.73"
"15","2024-01-15 00:00:00","Produk_5","251.58"
"16","2024-01-16 00:00:00","Produk_1","167.37"
"17","2024-01-17 00:00:00","Produk_2","237.3"
"18","2024-01-18 00:00:00","Produk_3","184.08"
"19","2024-01-19 00:00:00","Produk_4","219.44"
"20","2024-01-20 00:00:00","Produk_5","198.77"
